unique_id,ds,NBEATS,NHITS
hotel_84,2023-06-19,0.7867669,0.7494653
hotel_84,2023-06-20,0.838221,0.8210425
hotel_84,2023-06-21,0.8096011,0.802322
hotel_84,2023-06-22,0.8058005,0.77255857
hotel_84,2023-06-23,0.9015479,0.87820673
hotel_84,2023-06-24,0.9108521,0.92174697
hotel_84,2023-06-25,0.7587307,0.75151026
hotel_84,2023-06-26,0.8306845,0.775242
hotel_84,2023-06-27,0.829695,0.829073
hotel_84,2023-06-28,0.8374584,0.8032992
hotel_84,2023-06-29,0.8450665,0.7856951
hotel_84,2023-06-30,0.90332854,0.88435394
hotel_84,2023-07-01,0.9250078,0.9199344
hotel_91,2023-06-04,0.88527316,0.9041734
hotel_91,2023-06-05,0.93911666,0.9419553
hotel_91,2023-06-06,1.0116303,1.0180287
hotel_91,2023-06-07,0.97445136,0.9760314
hotel_91,2023-06-08,0.90530384,0.89764965
hotel_91,2023-06-09,0.9316049,0.9314599
hotel_91,2023-06-10,0.9325529,0.95833033
hotel_91,2023-06-11,0.8560435,0.8838231
hotel_91,2023-06-12,0.91089386,0.92759866
hotel_91,2023-06-13,0.99265516,1.0379775
hotel_91,2023-06-14,0.96405995,0.9685787
hotel_91,2023-06-15,0.90309626,0.89788765
hotel_91,2023-06-16,0.9179874,0.92608714
hotel_91,2023-06-17,0.90541834,0.94374084
hotel_91,2023-06-18,0.84183675,0.86718094
hotel_91,2023-06-19,0.90789765,0.9251084
hotel_91,2023-06-20,0.99431914,1.0068753
hotel_91,2023-06-21,0.95506835,0.978038
hotel_91,2023-06-22,0.89177316,0.8962493
hotel_91,2023-06-23,0.9139607,0.9311779
hotel_91,2023-06-24,0.8940233,0.9422992
hotel_91,2023-06-25,0.85336983,0.8808211
hotel_91,2023-06-26,0.90487856,0.94880307
hotel_91,2023-06-27,0.9851848,1.0225108
hotel_91,2023-06-28,0.97492737,0.96439785
hotel_91,2023-06-29,0.88470334,0.88401127
hotel_91,2023-06-30,0.9066694,0.9123347
hotel_91,2023-07-01,0.941703,0.93620616
hotel_98,2023-06-04,0.15571418,0.15058939
hotel_98,2023-06-05,0.12570733,0.12762865
hotel_98,2023-06-06,0.14827767,0.15563996
hotel_98,2023-06-07,0.14504075,0.18403289
hotel_98,2023-06-08,0.19007766,0.2064963
hotel_98,2023-06-09,0.23557882,0.26190883
hotel_98,2023-06-10,0.27072635,0.27653804
hotel_98,2023-06-11,0.18478647,0.17464548
hotel_98,2023-06-12,0.13758188,0.15267114
hotel_98,2023-06-13,0.10731166,0.17998384
hotel_98,2023-06-14,0.16260698,0.1790579
hotel_98,2023-06-15,0.21381988,0.21026708
hotel_98,2023-06-16,0.26365715,0.27830222
hotel_98,2023-06-17,0.26370817,0.28654242
hotel_98,2023-06-18,0.17138126,0.18149747
hotel_98,2023-06-19,0.11845209,0.16430308
hotel_98,2023-06-20,0.12680928,0.17684068
hotel_98,2023-06-21,0.13492379,0.1913634
hotel_98,2023-06-22,0.18881336,0.21480942
hotel_98,2023-06-23,0.2450903,0.27656484
hotel_98,2023-06-24,0.24804458,0.2814088
hotel_98,2023-06-25,0.18927094,0.18718585
hotel_98,2023-06-26,0.153586,0.15410823
hotel_98,2023-06-27,0.14020544,0.18408751
hotel_98,2023-06-28,0.17780314,0.20410833
hotel_98,2023-06-29,0.21604154,0.2292917
hotel_98,2023-06-30,0.28777286,0.2867604
hotel_98,2023-07-01,0.2941386,0.29449493
